datetime,anhui,beijing,chongqing,fujian,gansu,guangdong,guangxi,guizhou,hainan,hebei,heilongjiang,henan,hongkong,hubei,hunan,neimenggu,jiangsu,jiangxi,jilin,liaoning,macau,ningxia,qinghai,shaanxi,shandong,shanghai,shanxi,sichuan,taiwan,tianjin,xinjiang,xizang,yunnan,zhejiang,arizona,illinois,washington,california,japan,thailand,south korea,singapore,vietnam,france,australia,nepal,malaysia,philippines,mexico,brazil,colombia,ontario,cambodia,us,germany,sri lanka,canada,united arab,uk,india,russia,italy,belgium,spain,sweden,finland
2020-01-31 21:39:20.281223,297-0-4-0,156-0-5-1,238-0-1-1,144-0-0-0,35-0-0-0,520-0-14-0,100-0-2-0,29-0-1-0,57-0-1-1,96-0-0-1,80-0-0-2,422-0-3-2,13-0-0-0,7153-0-166-249,389-0-3-0,23-0-1-0,202-0-5-0,286-0-9-0,17-0-1-0,60-0-1-0,7-0-0-0,26-0-0-0,9-0-0-0,101-0-0-0,202-0-3-0,153-0-10-1,47-0-1-0,207-0-3-1,10-0-0-0,37-0-0-0,18-0-0-0,1-0-0-0,91-0-2-0,599-0-19-0,,,,,17-0-1-0,19-0-7-0,11-0-0-0,16-0-0-0,5-0-0-0,6-0-0-0,10-0-2-0,1-0-0-0,8-0-0-0,2-0-0-0,,,,,1-0-0-0,7-0-0-0,7-0-0-0,1-0-0-0,4-0-1-0,2-0-0-0,,,,2-0-0-0,,,,1-0-0-0
2020-02-01 00:06:09.884463,297-0-5-0,156-0-5-1,247-0-3-1,144-0-0-0,35-0-0-0,520-0-14-0,100-0-2-0,29-0-1-0,57-0-1-1,96-0-0-1,80-0-0-2,422-0-3-2,13-0-0-0,7153-0-167-249,389-0-3-0,23-0-1-0,202-0-6-0,286-0-9-0,17-0-1-0,63-0-1-0,7-0-0-0,26-0-0-0,9-0-0-0,101-0-0-0,206-0-3-0,169-0-10-1,47-0-1-0,207-0-3-1,10-0-0-0,37-0-0-0,18-0-0-0,1-0-0-0,91-0-4-0,599-0-21-0,,,,,17-0-1-0,19-0-7-0,11-0-0-0,16-0-0-0,6-0-0-0,6-0-0-0,10-0-2-0,1-0-0-0,8-0-0-0,2-0-0-1,,,,,1-0-0-0,7-0-0-0,7-0-0-0,1-0-0-0,4-0-1-0,2-0-0-0,,,2-0-0-0,2-0-0-0,,1-0-0-0,1-0-0-0,1-0-0-0
2020-02-02 00:06:06.063558,340-0-6-0,183-0-9-1,275-0-7-1,159-0-0-0,40-0-0-0,604-0-14-0,111-0-2-0,38-0-2-0,63-0-2-1,104-0-3-1,95-0-2-2,493-0-7-2,14-0-0-0,9074-0-222-294,463-0-12-0,27-0-1-0,236-0-7-0,333-0-12-0,23-0-1-0,69-0-1-0,8-0-0-0,28-0-0-0,11-0-0-0,116-0-0-0,230-0-6-0,182-0-10-1,56-0-2-0,231-0-4-1,10-0-0-0,48-0-0-0,21-0-0-0,1-0-0-0,99-0-3-0,661-0-23-0,,,,,20-0-1-0,19-0-7-0,15-0-0-0,18-0-0-0,7-0-0-0,6-0-0-0,12-0-2-0,1-0-0-0,8-0-0-0,2-0-0-1,,,,,1-0-0-0,8-0-0-0,8-0-0-0,1-0-1-0,4-0-1-0,5-0-0-0,2-0-0-0,,2-0-0-0,2-0-0-0,,1-0-0-0,1-0-0-0,1-0-0-0
2020-02-03 00:06:07.202402,408-0-10-0,191-0-9-1,300-0-8-2,179-0-1-0,51-0-3-0,683-0-15-0,127-0-3-0,46-0-2-0,70-0-4-1,113-0-3-1,121-0-3-2,566-0-15-2,15-0-0-0,11177-0-296-350,521-0-17-0,34-0-1-0,271-0-8-0,391-0-18-0,31-0-1-0,73-0-1-0,8-0-0-0,31-0-1-0,13-0-0-0,128-0-0-0,259-0-8-0,203-0-10-1,66-0-2-0,254-0-13-1,10-0-0-0,56-0-1-0,24-0-0-0,1-0-0-0,114-0-5-0,724-0-36-0,,,,,20-0-1-0,19-0-8-0,15-0-0-0,18-0-0-0,8-0-0-0,6-0-0-0,12-0-2-0,1-0-0-0,8-0-0-0,2-0-0-1,,,,,1-0-0-0,11-0-0-0,10-0-0-0,1-0-1-0,4-0-1-0,5-0-0-0,2-0-0-0,3-0-0-0,2-0-0-0,2-0-0-0,,1-0-0-0,1-0-0-0,1-0-0-0
2020-02-04 06:10:44.918543,480-0-20-0,228-0-23-1,344-0-14-2,194-0-7-0,55-0-3-0,813-0-30-0,139-0-10-0,58-0-2-0,80-0-6-1,126-0-4-1,155-0-2-2,675-0-35-2,17-0-0-1,13522-0-398-414,593-0-32-0,35-0-1-0,308-0-12-0,476-0-19-0,42-0-1-0,81-0-2-0,10-0-0-0,34-0-1-0,15-0-0-0,142-0-2-0,275-0-11-0,219-0-12-1,74-0-4-0,282-0-15-1,11-0-0-0,67-0-2-0,29-0-0-0,1-0-0-0,119-0-5-0,829-0-60-0,,,,,22-0-1-0,25-0-8-0,16-0-1-0,24-0-1-0,10-0-1-0,6-0-0-0,13-0-3-0,1-0-0-0,10-0-0-0,2-0-0-1,,,,,1-0-0-0,11-0-1-0,12-0-0-0,1-0-1-0,4-0-1-0,5-0-0-0,2-0-0-0,3-0-0-0,2-0-0-0,2-0-0-0,1-0-0-0,1-0-0-0,1-0-0-0,1-0-1-0
2020-02-05 06:06:08.361618,530-0-23-0,253-0-24-1,376-0-15-2,205-0-11-0,57-0-6-0,895-0-41-0,150-0-14-0,64-0-8-1,99-0-5-1,135-0-6-1,190-0-7-2,764-0-50-2,21-0-0-1,16678-0-532-479,661-0-48-0,42-0-3-0,341-0-22-0,548-0-28-0,54-0-2-0,88-0-4-0,10-0-0-0,34-0-1-0,17-0-3-0,165-0-6-0,307-0-15-0,243-0-15-1,81-0-5-0,301-0-24-1,11-0-0-0,69-0-2-1,32-0-0-0,1-0-0-0,124-0-5-0,895-0-77-0,,,,,35-0-1-0,25-0-8-0,19-0-1-0,24-0-1-0,10-0-3-0,6-0-0-0,14-0-3-0,1-0-0-0,12-0-1-0,3-0-0-1,,,,,1-0-0-0,11-0-1-0,12-0-0-0,1-0-1-0,5-0-1-0,5-0-0-0,2-0-0-0,3-0-0-0,2-0-0-0,2-0-0-0,1-0-0-0,1-0-0-0,1-0-0-0,1-0-1-0
2020-02-06 00:06:09.408734,591-0-34-0,274-0-31-1,389-0-15-2,215-0-11-0,62-0-6-0,944-0-50-0,168-0-14-0,69-0-6-1,106-0-5-1,157-0-9-1,227-0-7-3,851-0-58-2,21-0-0-1,19665-0-671-549,711-0-67-0,46-0-5-0,373-0-28-0,600-0-37-0,59-0-3-0,89-0-4-0,10-0-0-0,40-0-1-0,18-0-3-0,173-0-7-0,347-0-29-0,257-0-25-1,90-0-6-0,321-0-30-1,13-0-1-0,78-0-2-1,36-0-0-0,1-0-0-0,128-0-5-0,954-0-81-0,,,,,45-0-1-0,25-0-8-0,23-0-1-0,28-0-1-0,10-0-3-0,6-0-0-0,14-0-3-0,1-0-0-0,12-0-1-0,3-0-0-1,,,,,1-0-0-0,12-0-1-0,12-0-0-0,1-0-1-0,5-0-1-0,5-0-0-0,3-0-0-0,3-0-0-0,2-0-0-0,3-0-0-0,1-0-0-0,1-0-0-0,1-0-0-0,1-0-1-0
2020-02-07 00:06:04.225123,665-0-47-0,297-0-33-1,411-0-25-2,224-0-15-0,67-0-9-0,1034-0-75-1,172-0-17-0,77-0-6-1,115-0-8-2,171-0-16-1,277-0-12-3,914-0-70-3,24-0-0-1,22112-0-832-618,772-0-104-0,50-0-4-0,408-0-38-0,661-0-45-0,65-0-4-1,95-0-6-0,10-0-1-0,43-0-1-0,18-0-3-0,184-0-13-0,386-0-36-0,277-0-30-1,96-0-12-0,344-0-42-1,16-0-1-0,81-0-2-1,39-0-0-0,1-0-0-0,136-0-12-0,1006-0-100-0,,,,,86-0-1-0,25-0-8-0,24-0-1-0,30-0-1-0,12-0-3-0,6-0-0-0,15-0-3-0,1-0-0-0,14-0-1-0,3-0-0-1,,,,,1-0-0-0,12-0-1-0,13-0-0-0,1-0-1-0,5-0-1-0,5-0-0-0,3-0-0-0,3-0-0-0,2-0-0-0,3-0-0-0,1-0-0-0,1-0-0-0,1-0-0-0,1-0-1-0
2020-02-08 00:06:04.144720,733-0-59-0,315-0-34-2,428-0-31-2,239-0-21-0,71-0-9-1,1095-0-101-1,183-0-17-0,89-0-7-1,124-0-11-2,195-0-28-1,295-0-13-5,981-0-100-4,26-0-0-1,24953-0-1124-699,803-0-128-0,52-0-5-0,439-0-43-0,698-0-55-0,69-0-4-1,103-0-8-0,10-0-1-0,45-0-3-0,18-0-3-0,195-0-18-0,416-0-42-0,286-0-41-1,104-0-20-0,363-0-55-1,17-0-1-0,88-0-2-1,42-0-0-0,1-0-0-0,138-0-17-0,1048-0-170-0,,,,,89-0-1-0,32-0-8-0,24-0-2-0,33-0-2-0,13-0-3-0,6-0-0-0,15-0-3-0,1-0-0-0,15-0-1-0,3-0-0-1,,,,,1-0-0-0,12-0-3-0,13-0-0-0,1-0-1-0,5-0-1-0,7-0-0-0,3-0-0-0,3-0-0-0,2-0-0-0,3-0-0-0,1-0-0-0,1-0-0-0,1-0-0-0,1-0-1-0
2020-02-09 00:06:03.544021,779-0-65-1,326-0-37-2,446-0-48-2,250-0-28-0,79-0-14-1,1131-0-128-1,195-0-18-1,96-0-7-1,128-0-15-3,206-0-31-2,307-0-14-6,1033-0-131-6,26-0-1-1,27100-0-1447-780,838-0-170-1,54-0-5-0,468-0-72-0,740-0-72-0,78-0-12-1,105-0-8-0,10-0-1-0,45-0-13-0,18-0-3-0,208-0-24-0,444-0-58-1,293-0-44-1,115-0-21-0,386-0-63-1,18-0-1-0,90-0-4-1,45-0-0-0,1-0-0-0,141-0-18-0,1075-0-190-0,,,,,89-0-1-0,32-0-8-0,25-0-3-0,40-0-2-0,13-0-3-0,11-0-0-0,15-0-3-0,1-0-0-0,17-0-2-0,3-0-0-1,,,,,1-0-0-0,12-0-3-0,13-0-0-0,1-0-1-0,7-0-1-0,7-0-0-0,3-0-0-0,3-0-0-0,2-0-0-0,3-0-0-0,1-0-0-0,1-0-0-0,1-0-0-0,1-0-1-0
